METABRIC_ID	chrom	loc.start	loc.end	num.mark	seg.mean	call	call2
S-0001	5	23333695	31447467	5086	0.129089221	0	NEUT
S-0002	5	17729190	31105435	8176	0.091789927	0	NEUT
S-0003	5	17669504	46425031	17740	0.14259724	0	NEUT
S-0004	5	26367740	30782566	2635	-0.043293536	0	NEUT
S-0005	5	17956263	31447467	8341	0.02068345	0	NEUT
S-0006	5	26839642	27560209	402	0.395797102	1	GAIN
S-0007	5	21725423	31515291	6096	0.208817476	0	NEUT
S-0008	5	17713466	31537439	8599	0.298922058	0	NEUT
S-0009	5	17742286	31602404	8633	0.059226837	0	NEUT
S-0010	5	17800782	31447345	8462	-0.00072526	0	NEUT
S-0011	5	17669504	27363147	5906	0.046255512	0	NEUT
S-0012	5	27370986	28153234	447	0.213569903	0	NEUT
S-0013	5	26839642	32138489	3491	0.066513006	0	NEUT
S-0014	5	25978775	30867734	2949	0.19411229	1	GAIN
S-0015	5	17932659	31353286	8235	0.147524206	0	NEUT
S-0016	5	23886851	31379181	4650	-0.021943065	0	NEUT
S-0017	5	17797421	29947365	7385	0.025299929	0	NEUT
S-0018	5	17926543	30835278	7793	0.03038183	0	NEUT
S-0019	5	17763410	31447467	8495	0.190782165	0	NEUT
S-0020	5	19448231	27556907	4840	0.12269418	1	GAIN
S-0021	5	14942010	46287063	19467	-0.011645198	0	NEUT
S-0022	5	17763440	28334973	6400	0.110588723	1	GAIN
S-0023	5	17670560	27561690	6018	0.016571291	0	NEUT
S-0024	5	17561439	31352149	8449	0.080429543	0	NEUT

S-0025	5	26084832	29492782	2019	-0.001112491	0	NEUT
